PARTITIONCOL,BUSINESS,PRODUCT,SUB_PRODUCT,STAGE_ORDER,STAGE_NAMES,Journey_name,ENTRYPOINT_STAGE,clicks,users,EP_PLATFORM
202608,PERSONALLOAN,RTL,RSL_NO_OFFER,17.0,KYC_VERIFICATION_PAGE VIEWED,RSL_NO_OFFER,DPAOP3,439756,68467,APP
202608,PERSONALLOAN,RTL,RPPL,3.0,PERSONAL DETAILS PAGE VIEWED,RPPL_FUW,JOURNEY_3,725,383,CT-WEB
202608,PERSONALLOAN,RTL,RSL_NO_OFFER,25.0,APPLICATION SUBMITTED SUCCESSFULLY VIEWED,RSL_NO_OFFER,JOURNEY_3,2442,2179,CT-WEB
202608,PERSONALLOAN,RTL,RPPL,2.0,PDP PAGE > CHECK LOAN OFFER,RPPL_FUW,DPAOP3,24281,9217,APP
202608,PERSONALLOAN,RTL,RPPL,4.0,PERSONAL DETAILS PAGE CALL US,RPPL_FUW,DPAOP3,210,173,APP
202608,PERSONALLOAN,RTL,RPPL,1.0,PDP PAGE VIEW,RPPL_FUW,DPAOP3,132374,16915,APP
202608,PERSONALLOAN,RTL,RPL_FULL_UW,4.4,PERSONAL DETAILS PAGE GACB > TNC ERROR,RPL_FULL_UW,JOURNEY_3,1,1,CT-WEB
202608,PERSONALLOAN,RTL,RPPL,12.0,EMPLOYMENT DETAILS PAGE,RPPL_FUW,JOURNEY_3,208,118,CT-WEB
202608,PERSONALLOAN,RTL,RPPL,22.0,APPLICATION SUBMITTED SUCCESSFULLY,RPPL_FUW,DPAOP3,1087,309,APP
202608,PERSONALLOAN,RTL,RPL_GIN,1.0,PDP PAGE VIEW,RPL_STP,JOURNEY_3,73,49,APP
202608,PERSONALLOAN,RTL,RSL_NO_OFFER,3.0,PERSONAL DETAILS PAGE VIEWED,RSL_NO_OFFER,JOURNEY_3,455,175,APP
202608,PERSONALLOAN,RTL,RPL_FULL_UW,3.0,PERSONAL DETAILS PAGE VIEWED,RPL_FULL_UW,DPAOP3,221343,51678,APP
202608,PERSONALLOAN,RTL,RSL_NO_OFFER,26.0,APPLICATION SUBMITTED SUCCESSFULLY,RSL_NO_OFFER,JOURNEY_3,2441,1992,CT-WEB
202608,PERSONALLOAN,RTL,RSL_PREAPPROVED,22.0,APPLICATION SUBMITTED SUCCESSFULLY,RSL_PREAPPROVED,DPAOP3,4629,1080,APP
202608,PERSONALLOAN,RTL,RSL_PREAPPROVED,16.0,LOAN SUMMARY PAGE > SAVE TO CART,RSL_PREAPPROVED,DPAOP3,48,36,APP
202608,PERSONALLOAN,RTL,RPL_FULL_UW,19.0,BANK DETAILS PAGE VIEWED,RPL_FULL_UW,DPAOP3,471,88,APP
202608,PERSONALLOAN,RTL,RSL_NO_OFFER,13.0,OFFICE ADDRESS VIEWED,RSL_NO_OFFER,JOURNEY_3,3337,2250,CT-WEB
202608,PERSONALLOAN,RTL,RSL_NO_OFFER,4.0,PERSONAL DETAILS PAGE SUBMIT,RSL_NO_OFFER,JOURNEY_3,281,161,APP
202608,PERSONALLOAN,RTL,RPL_FULL_UW,4.1,PERSONAL DETAILS PAGE CALL US > WITH ERROR- VALIDATION ERROR,RPL_FULL_UW,DPAOP3,3666,2477,APP
202608,PERSONALLOAN,RTL,RPPL,21.0,APPLICATION SUBMITTED SUCCESSFULLY VIEWED,RPPL_FUW,DPAOP3,1431,414,APP
202608,PERSONALLOAN,RTL,RPL_GIN,11.0,OFFER POPUP VIEWED,RPL_STP,JOURNEY_3,235,111,CT-WEB
202608,PERSONALLOAN,RTL,RPPL,11.0,EMPLOYMENT DETAILS PAGE VIEWED,RPPL_FUW,JOURNEY_3,389,233,CT-WEB
202608,PERSONALLOAN,RTL,RSL_NO_OFFER,16.0,LOAN SUMMARY PAGE > SAVE TO CART,RSL_NO_OFFER,DPAOP3,2503,2141,APP
202608,PERSONALLOAN,RTL,RPL_GIN,4.0,PERSONAL DETAILS PAGE CALL US,RPL_STP,DPAOP3,565,480,APP
202608,PERSONALLOAN,RTL,RSL_NO_OFFER,4.0,PERSONAL DETAILS PAGE SUBMIT,RSL_NO_OFFER,DPAOP3,686787,208676,APP
202608,PERSONALLOAN,RTL,RSL_PREAPPROVED,16.0,LOAN SUMMARY PAGE,RSL_PREAPPROVED,DPAOP3,1755,987,APP
202608,PERSONALLOAN,RTL,RSL_NO_OFFER,15.0,OFFER POPUP VIEWED,RSL_NO_OFFER,JOURNEY_3,3666,1590,CT-WEB
202608,PERSONALLOAN,RTL,RPL_FULL_UW,22.0,APPLICATION SUBMITTED SUCCESSFULLY,RPL_FULL_UW,DPAOP3,20083,7694,APP
202608,PERSONALLOAN,RTL,RPPL,16.0,LOAN SUMMARY PAGE > GET A CALL BACK,RPPL_FUW,DPAOP3,56,41,APP
202608,PERSONALLOAN,RTL,RSL_PREAPPROVED,3.0,PERSONAL DETAILS PAGE VIEWED,RSL_PREAPPROVED,DPAOP3,13747,3093,APP
202608,PERSONALLOAN,RTL,RSL_PREAPPROVED,13.0,OFFICE ADDRESS PAGE VIEWED,RSL_PREAPPROVED,DPAOP3,403,268,APP
202608,PERSONALLOAN,RTL,RSL_NO_OFFER,12.0,EMPLOYMENT DETAILS PAGE,RSL_NO_OFFER,JOURNEY_3,2457,1432,CT-WEB
